id,variant,query
1,swap,A man indoors looking ta camera where a bookcase is behind him
1,swap,A man indoosr looking at camera where a bookcase is behind him
1,synonyms,"A chap inside viewing camera where a stack of books is behind him"
1,synonyms,"A fellow inside viewing camera where a bookshelf is behind him"
1,synonyms,"A gentleman inside viewing camera where a set of books is behind him"
1,synonyms,"A male inside observing camera where a collection of books is behind him"
1,synonyms,"A person inside viewing camera where a library is behind him"
1,upper,A MAN INDOORS LOOKING AT CAMERA WHERE A BOOKCASE IS BEHIND HIM
2,base,A person playing guitar outdoors
2,content_only,"person playing guitar"
2,keyboard,A person playinb guitar outdoors
2,keyboard,A person playing guitar outdlors
2,keyboard,A person playing guitar outdoorx
2,keyboard,A perzon playing guitar outdoors
2,keyboard,A petson playing guitar outdoors
2,lower,a person playing guitar outdoors
2,n+adj_only,"person guitar"
2,n_only,"person guitar"
2,punctuation,"A person playing guitar outdoors."
2,remove,A person playing gitar outdoors
2,remove,A person playing guitar outdors
2,remove,A person playing guitar outoors
2,remove,A person playing guitar utdoors
2,remove,A person playng guitar outdoors
2,repeat,A person playing guitaar outdoors
2,repeat,A person playing guitar outdooors
2,repeat,A person playing guitar  outdoors
2,repeat,A person playing guittar outdoors
2,repeat,A person playing guuitar outdoors
2,rephrase,"A guitarist performs in an outdoor environment"
2,rephrase,"A musician is actively playing a guitar amidst an outdoor backdrop"
2,rephrase,"A musician performs on a guitar in an open environment"
2,rephrase,"An individual is making music outside with a guitar"
2,rephrase,"An individual is practicing guitar in an open-air location"
2,rephrase,"An individual is serenading the open air with a guitar"
2,rephrase,"An individual strumming a guitar in an open-air setting"
2,rephrase,"An outdoor guitarist is performing their instrument"
2,rephrase,"An outdoor musician is performing on a guitar"
2,rephrase,"Someone is making music with a guitar outside"
2,shuffle_keywords,"person playing guitar"
2,shuffle_n+adj,"person guitar"
2,shuffle_nouns,"person guitar"
2,swap, Aperson playing guitar outdoors
2,swap,A perso nplaying guitar outdoors
2,swap,A person playing guitar outdoros
2,swap,A person playnig guitar outdoors
2,swap,A pesron playing guitar outdoors
2,synonyms,"A chap strumming guitar in the open air"
2,synonyms,"A fellow playing guitar in the open"
2,synonyms,"A fellow strumming guitar in the open air"
2,synonyms,"A musician performing guitar outside"
2,synonyms,"A person strumming guitar in the open air"
2,upper,A PERSON PLAYING GUITAR OUTDOORS
3,base,A person playing drums indoors
3,content_only,"person playing drums indoors"
3,keyboard,A person plahing drums indoors
3,keyboard,A person playing crums indoors
3,keyboard,A person playing drums ondoors
3,keyboard,A person playing erums indoors
3,keyboard,A person plwying drums indoors
3,lower,a person playing drums indoors
3,n+adj_only,"person drums indoors"
3,n_only,"person drums indoors"
3,punctuation,"A person playing drums indoors."
3,remove,A peron playing drums indoors
3,remove,A person playin drums indoors
3,remove,A person playing drms indoors
3,remove,A person playingdrums indoors
3,remove,A perso playing drums indoors
3,repeat,A person playing drrums indoors
3,repeat,A person playing drums iindoors
3,repeat,A person playing drums inddoors
3,repeat,A person playing drums indooors
3,repeat,A person pllaying drums indoors
3,rephrase,"A drummer is performing within an indoor environment"
3,rephrase,"An individual is actively producing rhythmic sounds with percussion instruments in an indoor setting"
3,rephrase,"An individual is making music on drums inside a dwelling"
3,rephrase,"An indoor drummer"
3,rephrase,"Drums are being played by someone inside a building"
3,rephrase,"Rhythm is being created by an individual inside a dwelling"
3,rephrase,"Someone is actively playing a set of drums within a confined space"
3,rephrase,"Someone is playing the drums inside a building"
3,rephrase,"The sound of drumming emanates from within a structure"
3,rephrase,"Within an enclosed space, someone is engaged in playing the drums"
3,shuffle_keywords,"person playing drums indoors"
3,shuffle_n+adj,"person drums indoors"
3,shuffle_nouns,"person drums indoors"
3,swap,A persno playing drums indoors
3,swap,A person playing drums idnoors
3,swap,A person playing drumsi ndoors
3,swap,A person playing drums inodors
3,swap,A preson playing drums indoors
3,synonyms,"A musician striking drums inside"
3,synonyms,"An individual performing on drums within four walls"
3,synonyms,"An individual playing percussion indoors"
3,synonyms,"A person beating drums indoors"
3,synonyms,"A person drumming inside a building"
3,upper,A PERSON PLAYING DRUMS INDOORS
4,base,A diver wearing diving suit and swimming under water
4,content_only,"diver wearing diving suit swimming water"
4,keyboard,A diver weading diving suit and swimming under water
4,keyboard,A diver wearing diving suit and swimming under wster
4,keyboard,A diver wearing diving suit anx swimming under water
4,keyboard,A diver wearing diving sujt and swimming under water
4,keyboard,A diver wearing dkving suit and swimming under water
4,lower,a diver wearing diving suit and swimming under water
4,n+adj_only,"diver diving suit water"
4,n_only,"diver diving suit water"
4,punctuation,"A diver wearing diving suit and swimming under water."
4,remove,A diver weaing diving suit and swimming under water
4,remove,A diver wearing divingsuit and swimming under water
4,remove,A diver wearing diving suit and swimming under wter
4,remove,A diver wearing dving suit and swimming under water
4,remove,A dive wearing diving suit and swimming under water
4,repeat,AA diver wearing diving suit and swimming under water
4,repeat,A diiver wearing diving suit and swimming under water
4,repeat,A diver wearing diving suit and swimmiing under water
4,repeat,A diver wearing diving suit and swimming under waater
4,repeat,A  diver wearing diving suit and swimming under water
4,rephrase,"A diver, equipped with a diving suit, swims beneath the water's surface"
4,rephrase,"An aquatic explorer, outfitted in a diving suit, maneuvers through the depths"
4,rephrase,"An individual in a diving suit propels themselves through the water"
4,rephrase,"An individual in diving apparel is submerged and moving through the water"
4,rephrase,"An individual in diving attire is moving through the submerged depths"
4,rephrase,"A person in a diving suit moves through the water below the surface"
4,rephrase,"Beneath the waves, a diver in full gear navigates the aquatic environment"
4,rephrase,"Clad in protective gear, a diver is exploring the underwater realm"
4,rephrase,"In a diving suit, a person is swimming underwater"
4,rephrase,"Submerged underwater, a diver is clad in a diving suit"
4,shuffle_keywords,"diver wearing diving suit swimming water"
4,shuffle_n+adj,"diver diving suit water"
4,shuffle_nouns,"diver diving suit water"
4,swap,A diver weairng diving suit and swimming under water
4,swap,A diver wearign diving suit and swimming under water
4,swap,A diver wearing diving suit an dswimming under water
4,swap,A diver wearing diving usit and swimming under water
4,swap,A diver wearnig diving suit and swimming under water
4,synonyms,"A diver clad in protective gear and swimming beneath the waves"
4,synonyms,"A diver in a diving outfit and swimming underwater"
4,synonyms,"An aquanaut wearing submersible gear and swimming beneath the surface"
4,synonyms,"A scuba diver in protective attire and moving below the sea"
4,synonyms,"A swimmer clad in a wetsuit and moving beneath the waves"
4,upper,A DIVER WEARING DIVING SUIT AND SWIMMING UNDER WATER
5,base,A person holding a poster on the street at daytime
5,content_only,"person holding poster street daytime"
5,keyboard,A persin holding a poster on the street at daytime
5,keyboard,A person holding a poster on the stdeet at daytime
5,keyboard,A person holding a poster on the street af daytime
5,keyboard,A person holding a poster on the street at daytims
5,keyboard,A person holding a poster on the street at xaytime
5,lower,a person holding a poster on the street at daytime
5,n+adj_only,"person poster street daytime"
5,n_only,"person poster street daytime"
5,punctuation,"A person holding a poster on the street at daytime."
5,remove,A person holding a poster on the street at daytim
5,remove,Aperson holding a poster on the street at daytime
5,remove,A person holding a poster on the stret at daytime
5,remove,A person holding a poster on th street at daytime
5,remove,A person holding a poster o the street at daytime
5,repeat,A person holding a pooster on the street at daytime
5,repeat,A person holding a poster on the streeet at daytime
5,repeat,A person holding a poster on the streett at daytime
5,repeat,A person holding a poster on thhe street at daytime
5,repeat,A person hoolding a poster on the street at daytime
5,rephrase,"An individual is exhibiting a poster on a street when the sun is up"
5,rephrase,"An individual is on a street during the day with a poster in their possession"
5,rephrase,"At daytime, an individual stands on the street with a poster in hand"
5,rephrase,"During daylight hours, someone is displaying a poster on a public street"
5,rephrase,"During the day, a person is on the street displaying a poster"
5,rephrase,"In daylight, a person stands on the street holding a poster"
5,rephrase,"On a street during daylight, an individual is presenting a poster"
5,rephrase,"On a street during the day, an individual is holding up a poster"
5,rephrase,"Someone is brandishing a poster on a city street while it is light out"
5,rephrase,"Under the sun, a person stands on a street, presenting a poster"
5,shuffle_keywords,"person holding poster street daytime"
5,shuffle_n+adj,"person poster street daytime"
5,shuffle_nouns,"person poster street daytime"
5,swap,A person holding a poster on the streeta t daytime
5,swap,A person holding a poster on thes treet at daytime
5,swap,Ap erson holding a poster on the street at daytime
5,swap,A person holdnig a poster on the street at daytime
5,swap,A preson holding a poster on the street at daytime
5,synonyms,"A character clutching a placard on the walkway in daylight"
5,synonyms,"A fellow holding a placard on the road during daylight"
5,synonyms,"A gent carrying a bulletin on the avenue at noon"
5,synonyms,"An individual carrying a banner on the avenue during the day"
5,synonyms,"A somebody bearing a sign on the thoroughfare while it is light"
5,upper,A PERSON HOLDING A POSTER ON THE STREET AT DAYTIME
6,base,The 43rd president George W. Bush sitting down talking with people indoors
6,content_only,"43rd president George W. Bush sitting talking people indoors"
6,keyboard,The 43rd president George E. Bush sitting down talking with people indoors
6,keyboard,The 43rd president George W. Bush sitting down talkihg with people indoors
6,keyboard,The 43rd president George W. Bush sitting down talking with peopke indoors
6,keyboard,The 43rd president George W. Bush sitting down talking witn people indoors
6,keyboard,The 43rd president George W. Bush sitting down talking wkth people indoors
6,lower,the 43rd president george w. bush sitting down talking with people indoors
6,n+adj_only,"43rd president George W. Bush people indoors"
6,n_only,"president George W. Bush people indoors"
6,punctuation,"The 43rd president George W. Bush sitting down talking with people indoors."
6,remove,The 3rd president George W. Bush sitting down talking with people indoors
6,remove,The 43rd presiden George W. Bush sitting down talking with people indoors
6,remove,The 43rd president George W. Bush sitting down talking with peopleindoors
6,remove,The 43rd president George W. Bush sittingdown talking with people indoors
6,remove,The 43rd president George W. Bush sitting down talking with people indors
6,repeat,The 43rd preesident George W. Bush sitting down talking with people indoors
6,repeat,The 43rd president Georgee W. Bush sitting down talking with people indoors
6,repeat,The 43rd president George W. Bush sitting down talking wiith people indoors
6,repeat,The 43rd president George W. Bush sitting down talking with people inddoors
6,repeat,The 43rd president George W.  Bush sitting down talking with people indoors
6,rephrase,"Former President George W. Bush, the 43rd occupant of the office, was pictured indoors in a discussion with others"
6,rephrase,"George W. Bush, the 43rd president, was depicted seated and speaking with individuals within an indoor environment"
6,rephrase,"George W. Bush, the 43rd president, was indoors in conversation with individuals"
6,rephrase,"George W. Bush, who served as the 43rd president, was seen in an indoor setting conversing with others"
6,rephrase,"Indoors, the 43rd president, George W. Bush, held a discussion with others"
6,rephrase,"Inside, George W. Bush, the 43rd president, conversed with individuals while seated"
6,rephrase,"President George W. Bush, in his 43rd presidential term, was seated and conversing with people inside"
6,rephrase,"President George W. Bush, the 43rd president, engaged in conversation with individuals inside a building"
6,rephrase,"The 43rd president, George W. Bush, was indoors, seated and conversing with a group of people"
6,rephrase,"The 43rd president, George W. Bush, was observed indoors having a conversation with several individuals"
6,shuffle_keywords,"43rd president George W. Bush sitting talking people indoors"
6,shuffle_n+adj,"43rd president George W. Bush people indoors"
6,shuffle_nouns,"president George W. Bush people indoors"
6,swap,The 43rd president George W. Bush sitting down atlking with people indoors
6,swap,The 43rd president GeorgeW . Bush sitting down talking with people indoors
6,swap,The4 3rd president George W. Bush sitting down talking with people indoors
6,swap,The 43rd president George W. Bush sitting down talking with people inodors
6,swap,The 43rd presidnet George W. Bush sitting down talking with people indoors
6,synonyms,"The 43rd president George W. Bush located down conversing with individuals inside"
6,synonyms,"The 43rd president George W. Bush reclining down speaking with persons inside"
6,synonyms,"The 43rd president George W. Bush resting conversing with people indoors"
6,synonyms,"The 43rd president George W. Bush resting down conversing with folks indoors"
6,synonyms,"The 43rd president George W. Bush seated conversing with individuals inside"
6,upper,THE 43RD PRESIDENT GEORGE W. BUSH SITTING DOWN TALKING WITH PEOPLE INDOORS
7,base,A choir or orchestra and conductor performing on stage
7,content_only,"choir orchestra conductor performing stage"
7,keyboard,A choir ir orchestra and conductor performing on stage
7,keyboard,A choir or orchestra and concuctor performing on stage
7,keyboard,A choir or orchestra and conductor performing om stage
7,keyboard,A choir or orchestra and conductor performing on stave
7,keyboard,A choir or orchestra and donductor performing on stage
7,lower,a choir or orchestra and conductor performing on stage
7,n+adj_only,"choir orchestra conductor stage"
7,n_only,"choir orchestra conductor stage"
7,punctuation,"A choir or orchestra and conductor performing on stage."
7,remove,A chir or orchestra and conductor performing on stage
7,remove,A choir or orchestra and conducor performing on stage
7,remove,A choir or orchestra and conductor performing n stage
7,remove,A choir or orchestraand conductor performing on stage
7,remove, choir or orchestra and conductor performing on stage
7,repeat,A cchoir or orchestra and conductor performing on stage
7,repeat,A choiir or orchestra and conductor performing on stage
7,repeat,A choir or orcheestra and conductor performing on stage
7,repeat,A choir or orchestra and conductor perrforming on stage
7,repeat,A choir orr orchestra and conductor performing on stage
7,rephrase,"A conductor leading a choir or orchestra in a stage performance"
7,rephrase,"A conductor leads a choir or orchestra during a performance on a stage"
7,rephrase,"A conductor oversees a choir or orchestra's presentation on a stage"
7,rephrase,"A musical ensemble comprised of a choir or orchestra, under the direction of a conductor, is showcased on stage"
7,rephrase,"A musical performance on stage involves a conductor directing a choir or orchestra"
7,rephrase,"A stage performance features a conductor guiding a choir or orchestra"
7,rephrase,"A stage performance is given by a choir or orchestra with their conductor"
7,rephrase,"On a stage, a choir or orchestra plays under the direction of a conductor"
7,rephrase,"Onstage, a conductor directs a choir or orchestra"
7,rephrase,"The stage hosts a choir or orchestra accompanied by their conductor in performance"
7,shuffle_keywords,"choir orchestra conductor performing stage"
7,shuffle_n+adj,"choir orchestra conductor stage"
7,shuffle_nouns,"choir orchestra conductor stage"
7,swap,A choir or orchestra and conductor eprforming on stage
7,swap,A choir or orchestra an dconductor performing on stage
7,swap,A choir or orchestra and conductor performingo n stage
7,swap,A choir or orchestra and condutcor performing on stage
7,swap,A choir or orchsetra and conductor performing on stage
7,synonyms,"A choir or orchestra and baton-wielder performing on stage"
7,synonyms,"A choir or orchestra and director performing on stage"
7,synonyms,"A choir or orchestra and frontman performing on stage"
7,synonyms,"A choir or orchestra and maestro performing on stage"
7,synonyms,"A vocal ensemble or orchestra and leader performing on stage"
7,upper,A CHOIR OR ORCHESTRA AND CONDUCTOR PERFORMING ON STAGE
8,base,One or more people walking or bicycling on a bridge during daytime
8,content_only,"people walking bicycling bridge daytime"
8,keyboard,One or more people walking or bicycling on a bfidge during daytime
8,keyboard,One or more people walking or bicycling on a bridge durijg daytime
8,keyboard,One or more people walking or bidycling on a bridge during daytime
8,keyboard,One or more people walking or nicycling on a bridge during daytime
8,keyboard,One or more pepple walking or bicycling on a bridge during daytime
8,lower,one or more people walking or bicycling on a bridge during daytime
8,n+adj_only,"more people bridge daytime"
8,n_only,"people bridge daytime"
8,punctuation,"One or more people walking or bicycling on a bridge during daytime."
8,remove,One or moe people walking or bicycling on a bridge during daytime
8,remove,One or more eople walking or bicycling on a bridge during daytime
8,remove,One or more people walking or bcycling on a bridge during daytime
8,remove,One or more people walking or bicycling on a bridge durng daytime
8,remove,One or more people walking r bicycling on a bridge during daytime
8,repeat,One or more peoople walking or bicycling on a bridge during daytime
8,repeat,One or more people waalking or bicycling on a bridge during daytime
8,repeat,One or more people walking or bbicycling on a bridge during daytime
8,repeat,One or more people walking or bicycling on a bridge  during daytime
8,repeat,One or more people walking or bicycling onn a bridge during daytime
8,rephrase,"Daytime sees individuals on foot or aboard bicycles traversing the bridge"
8,rephrase,"During daylight hours, pedestrians and cyclists can be observed crossing the bridge"
8,rephrase,"During the day, the bridge has people walking or riding bicycles on it"
8,rephrase,"During the day, the bridge is used by people walking or cycling"
8,rephrase,"Individuals stroll or pedal across the bridge while the sun is up"
8,rephrase,"Pedestrians and cyclists can be seen moving across the bridge during the day"
8,rephrase,"People are visible walking or cycling on the bridge in daylight"
8,rephrase,"The bridge is occupied by individuals on foot or on bicycles under the daytime sun"
8,rephrase,"The bridge is populated by individuals on foot or bicycles during daylight hours"
8,rephrase,"The bridge is populated by pedestrians and cyclists under the daytime sun"
8,shuffle_keywords,"people walking bicycling bridge daytime"
8,shuffle_n+adj,"more people bridge daytime"
8,shuffle_nouns,"people bridge daytime"
8,swap,One or more epople walking or bicycling on a bridge during daytime
8,swap,One or more people wakling or bicycling on a bridge during daytime
8,swap,One or more people walking or bicycling on  abridge during daytime
8,swap,One or more people walking or bicyclingo n a bridge during daytime
8,swap,One ro more people walking or bicycling on a bridge during daytime
8,synonyms,"A few people moving or cycling on a bridge during the day"
8,synonyms,"A few persons strolling or riding bicycles on a span during daylight hours"
8,synonyms,"Several individuals strolling or pedaling on a bridge in daylight"
8,synonyms,"Some folks ambulating or cycling on a bridge while it is light"
8,synonyms,"Some individuals traversing or pedaling across a bridge throughout the day"
8,upper,ONE OR MORE PEOPLE WALKING OR BICYCLING ON A BRIDGE DURING DAYTIME
9,base,A crowd demonstrating in a city street at night
9,content_only,"crowd demonstrating city street night"
9,keyboard,A crowd dejonstrating in a city street at night
9,keyboard,A crowd demonstratibg in a city street at night
9,keyboard,A crowd demonstrating in a city street at nighg
9,keyboard,A crowd demonstrating in a city street at nighy
9,keyboard,A crowd demonstrating in w city street at night
9,lower,a crowd demonstrating in a city street at night
9,n+adj_only,"crowd city street night"
9,n_only,"crowd city street night"
9,punctuation,"A crowd demonstrating in a city street at night."
9,remove,A crowd demonstating in a city street at night
9,remove,A crowd demonstrating in a city street at ight
9,remove,Acrowd demonstrating in a city street at night
9,remove,A crowd demonstrating in a city street at nigt
9,remove,A crowd demonstrating in a city stret at night
9,repeat,A ccrowd demonstrating in a city street at night
9,repeat,A crowd demonstratiing in a city street at night
9,repeat,A crowd  demonstrating in a city street at night
9,repeat,A crowd demonstrating in  a city street at night
9,repeat,A crowd demonstrating in a city street at niight
9,rephrase,"A city street buzzed with activity as a multitude of people protested after sundown"
9,rephrase,"A city street was the scene of a nighttime demonstration by a large assembly of people"
9,rephrase,"A nighttime urban gathering of people was actively protesting in a city street"
9,rephrase,"A nocturnal gathering of protesters filled a city thoroughfare"
9,rephrase,"At nighttime, a throng of people marched through the city's thoroughfares"
9,rephrase,"Demonstrators occupied the city's streets under the cover of darkness"
9,rephrase,"During the dark hours, a large group of people actively protested in a city street"
9,rephrase,"In the darkness of night, a large number of people were demonstrating on a city street"
9,rephrase,"The city streets were filled with a nighttime procession of demonstrators"
9,rephrase,"Under the cloak of night, a multitude of protesters occupied a city street"
9,shuffle_keywords,"crowd demonstrating city street night"
9,shuffle_n+adj,"crowd city street night"
9,shuffle_nouns,"crowd city street night"
9,swap,A crowd demonstrating in a city steret at night
9,swap,A crowd demonstrating in a city street ta night
9,swap,A crowd demonstrating in a ctiy street at night
9,swap,A crowd demonstrtaing in a city street at night
9,swap,A crowd edmonstrating in a city street at night
9,synonyms,"A gathering demonstrating in a city thoroughfare after sundown"
9,synonyms,"A multitude marching on a city avenue at dusk"
9,synonyms,"A multitude protesting in a city thoroughfare after midnight"
9,synonyms,"A populace rallying on a city road by moonlight"
9,synonyms,"A throng protesting in a city thoroughfare after dark"
9,upper,A CROWD DEMONSTRATING IN A CITY STREET AT NIGHT
10,base,A sewing machine
10,content_only,"sewing machine"
10,keyboard,A sewibg machine
10,keyboard,A sewing machime
10,keyboard,A sewinh machine
10,keyboard,A sewinv machine
10,keyboard,W sewing machine
10,lower,a sewing machine
10,n+adj_only,"sewing machine"
10,n_only,"sewing machine"
10,punctuation,"A sewing machine."
10,remove,A sewing machie
10,remove,A sewing machin
10,remove,A sewingmachine
10,remove,A sewing machne
10,remove,A sewing mahine
10,repeat,AA sewing machine
10,repeat,A seewing machine
10,repeat,A sewing maachine
10,repeat,A sewing machiine
10,repeat,A sewing machinne
10,rephrase,"A device used for stitching fabric with thread"
10,rephrase,"It's a mechanical device that stitches materials together with thread"
10,rephrase,"This apparatus allows for the mechanical creation of stitches in materials like cloth"
10,rephrase,"This is a machine designed to create stitches in fabric using thread"
10,rephrase,"This is a mechanical aid for joining textiles using needle and thread"
10,rephrase,"This is a mechanical contraption employed to sew materials together using a needle and thread"
10,rephrase,"This is a mechanical tool for creating seams in cloth by interlacing thread with a needle"
10,rephrase,"This is an apparatus that mechanically fastens materials together by means of a needle and thread"
10,rephrase,"This mechanical implement joins fabrics using a needle and thread"
10,rephrase,"This mechanism facilitates the automated joining of fabric using a needle and thread"
10,shuffle_keywords,"sewing machine"
10,shuffle_n+adj,"sewing machine"
10,shuffle_nouns,"sewing machine"
10,swap,A sewing machien
10,swap, Asewing machine
10,swap,A sewin gmachine
10,swap,A sewingm achine
10,swap,A sewing mcahine
10,synonyms,"A garment-making apparatus"
10,synonyms,"A needlework device"
10,synonyms,"A sewing contraption"
10,synonyms,"A sewing mechanism"
10,synonyms,"A stitcher appliance"
10,upper,A SEWING MACHINE
11,base,Destroyed buildings
11,content_only,"Destroyed buildings"
11,keyboard,Destroyed buuldings
11,keyboard,Destroyed byildings
11,keyboard,Destroyed huildings
11,keyboard,Desttoyed buildings
11,keyboard,Desyroyed buildings
11,lower,destroyed buildings
11,n+adj_only,"buildings"
11,n_only,"buildings"
11,punctuation,"Destroyed buildings."
11,remove,Destoyed buildings
11,remove,Destroyed buidings
11,remove,Destroyedbuildings
11,remove,Destroyed buildngs
11,remove,Detroyed buildings
11,repeat,Destrooyed buildings
11,repeat,Destroyed bbuildings
11,repeat,Destroyed buildiings
11,repeat,Destroyed  buildings
11,repeat,Destroyyed buildings
11,rephrase,"Ruined structures remain"
11,rephrase,"The architectural works have been completely obliterated"
11,rephrase,"The buildings have been demolished"
11,rephrase,"The constructions are in ruins"
11,rephrase,"The edifices have been devastated"
11,rephrase,"The edifices have been reduced to rubble"
11,rephrase,"The edifices have been rendered uninhabitable"
11,rephrase,"The structures have been demolished"
11,rephrase,"The structures have been leveled"
11,rephrase,"The structures suffered total destruction"
11,shuffle_keywords,"Destroyed buildings"
11,shuffle_n+adj,"buildings"
11,shuffle_nouns,"buildings"
11,swap,Destroeyd buildings
11,swap,Destroyde buildings
11,swap,Destroyed buidlings
11,swap,Destroye dbuildings
11,swap,Destroyedb uildings
11,synonyms,"Annihilated edifices"
11,synonyms,"Demolished structures"
11,synonyms,"Obliterated constructions"
11,synonyms,"Razed edifices"
11,synonyms,"Ruined edifices"
11,upper,DESTROYED BUILDINGS
12,base,Palm trees 
12,content_only,"Palm trees"
12,keyboard,Palj trees 
12,keyboard,Palm tress 
12,keyboard,Palm trses 
12,keyboard,Paln trees 
12,keyboard,Pslm trees 
12,lower,palm trees 
12,n+adj_only,"Palm trees"
12,n_only,"Palm trees"
12,punctuation,"Palm trees."
12,remove,Palm tees 
12,remove,Palm trees
12,remove,Palmtrees 
12,remove,Pam trees 
12,remove,Plm trees 
12,repeat,Paalm trees 
12,repeat,Pallm trees 
12,repeat,Palm treees 
12,repeat,Palm trees  
12,repeat,Palm trrees 
12,rephrase,"Information on palm trees is sought"
12,rephrase,"The query is about palm trees"
12,rephrase,"The request pertains to palm trees"
12,rephrase,"The user is asking about palm trees"
12,rephrase,"The user is interested in information about palm trees"
12,rephrase,"The user is looking for details about palm trees"
12,rephrase,"The user is seeking information regarding palm trees"
12,rephrase,"The user's interest lies in palm trees"
12,rephrase,"The user's query concerns palm trees"
12,rephrase,"The user wants to know about palm trees"
12,shuffle_keywords,"Palm trees"
12,shuffle_n+adj,"Palm trees"
12,shuffle_nouns,"Palm trees"
12,swap,aPlm trees 
12,swap,Palm teres 
12,swap,Pal mtrees 
12,swap,Palmt rees 
12,swap,Paml trees 
12,synonyms,"Coconut palms"
12,synonyms,"Date palms"
12,synonyms,"Fan palms"
12,synonyms,"Shoreline palms"
12,synonyms,"Tropical trees"
12,upper,PALM TREES 
13,base,Military personnel interacting with protesters
13,content_only,"Military personnel interacting protesters"
13,keyboard,Jilitary personnel interacting with protesters
13,keyboard,Military personnel intedacting with protesters
13,keyboard,Military personnel interacting with proyesters
13,keyboard,Military personnel interacting witn protesters
13,keyboard,Military personnel interwcting with protesters
13,lower,military personnel interacting with protesters
13,n+adj_only,"Military personnel protesters"
13,n_only,"personnel protesters"
13,punctuation,"Military personnel interacting with protesters."
13,remove,Military peronnel interacting with protesters
13,remove,Military personne interacting with protesters
13,remove,Military personnel interacting with protsters
13,remove,Military personnel intercting with protesters
13,remove,Military personnel intracting with protesters
13,repeat,Miilitary personnel interacting with protesters
13,repeat,Military personnel interaccting with protesters
13,repeat,Military personnel interacting with prootesters
13,repeat,Military personnel interacting with proteesters
13,repeat,Military personnel interracting with protesters
13,rephrase,"Armed forces members engaging with people demonstrating"
13,rephrase,"Law enforcement officers present at demonstrations had dialogue with the gathered crowds"
13,rephrase,"Members of the armed forces are having exchanges with groups protesting"
13,rephrase,"Service members are having discourse with individuals who are expressing their grievances publicly"
13,rephrase,"Service members in contact with individuals expressing dissent"
13,rephrase,"Soldiers communicating with those protesting"
13,rephrase,"The armed forces are in contact with those actively protesting"
13,rephrase,"The military forces are engaged in dialogue with the assembled protesters"
13,rephrase,"The military has established a connection with the people who are demonstrating"
13,rephrase,"Troops engaging with demonstrators"
13,shuffle_keywords,"Military personnel interacting protesters"
13,shuffle_n+adj,"Military personnel protesters"
13,shuffle_nouns,"personnel protesters"
13,swap,Military personnel interacting with proetsters
13,swap,Military personne linteracting with protesters
13,swap,Military personneli nteracting with protesters
13,swap,Militaryp ersonnel interacting with protesters
13,swap,Military personnel interacting wtih protesters
13,synonyms,"Service members conversing with protestors"
13,synonyms,"Service members interacting with activists"
13,synonyms,"Soldiers engaging with demonstrators"
13,synonyms,"Troops engaging with protestors"
13,synonyms,"Wartime individuals communicating with marchers"
13,upper,MILITARY PERSONNEL INTERACTING WITH PROTESTERS
14,base,Soldiers performing training or other military maneuvers
14,content_only,"Soldiers performing training military maneuvers"
14,keyboard,Soldierd performing training or other military maneuvers
14,keyboard,Soldiers performing fraining or other military maneuvers
14,keyboard,Soldiers performing trainibg or other military maneuvers
